Label,Band,Shape,Target Freq (Hz),Gain (dB),Q,Points,Captured At
bell_1000Hz_+12dB_Q0.1,2,Bell,1000,12,0.1,73,2026-08-27T00:37:43Z
bell_1000Hz_+12dB_Q0.7,2,Bell,1000,12,0.7,73,2026-08-27T00:40:27Z
bell_1000Hz_+12dB_Q1.0,2,Bell,1000,12,1,73,2026-08-27T00:43:08Z
bell_1000Hz_+12dB_Q12.0,2,Bell,1000,12,12,73,2026-08-27T00:51:17Z
bell_1000Hz_+12dB_Q2.0,2,Bell,1000,12,2,73,2026-08-27T00:45:49Z
bell_1000Hz_+12dB_Q6.0,2,Bell,1000,12,6,73,2026-08-27T00:48:34Z
bell_1000Hz_+3dB_Q0.1,2,Bell,1000,3,0.1,73,2026-08-27T00:36:49Z
bell_1000Hz_+3dB_Q0.7,2,Bell,1000,3,0.7,73,2026-08-27T00:39:32Z
bell_1000Hz_+3dB_Q1.0,2,Bell,1000,3,1,73,2026-08-27T00:42:15Z
bell_1000Hz_+3dB_Q12.0,2,Bell,1000,3,12,73,2026-08-27T00:50:24Z
bell_1000Hz_+3dB_Q2.0,2,Bell,1000,3,2,73,2026-08-27T00:44:54Z
bell_1000Hz_+3dB_Q6.0,2,Bell,1000,3,6,73,2026-08-27T00:47:39Z
bell_1000Hz_+6dB_Q0.1,2,Bell,1000,6,0.1,73,2026-08-27T00:37:16Z
bell_1000Hz_+6dB_Q0.7,2,Bell,1000,6,0.7,73,2026-08-27T00:40:00Z
bell_1000Hz_+6dB_Q1.0,2,Bell,1000,6,1,73,2026-08-27T00:42:42Z
bell_1000Hz_+6dB_Q12.0,2,Bell,1000,6,12,73,2026-08-27T00:50:51Z
bell_1000Hz_+6dB_Q2.0,2,Bell,1000,6,2,73,2026-08-27T00:45:22Z
bell_1000Hz_+6dB_Q6.0,2,Bell,1000,6,6,73,2026-08-27T00:48:06Z
bell_1000Hz_-12dB_Q0.1,2,Bell,1000,-12,0.1,73,2026-08-27T00:35:28Z
bell_1000Hz_-12dB_Q0.7,2,Bell,1000,-12,0.7,73,2026-08-27T00:38:10Z
bell_1000Hz_-12dB_Q1.0,2,Bell,1000,-12,1,73,2026-08-27T00:40:54Z
bell_1000Hz_-12dB_Q12.0,2,Bell,1000,-12,12,73,2026-08-27T00:49:01Z
bell_1000Hz_-12dB_Q2.0,2,Bell,1000,-12,2,73,2026-08-27T00:43:34Z
bell_1000Hz_-12dB_Q6.0,2,Bell,1000,-12,6,73,2026-08-27T00:46:16Z
bell_1000Hz_-3dB_Q0.1,2,Bell,1000,-3,0.1,73,2026-08-27T00:36:21Z
bell_1000Hz_-3dB_Q0.7,2,Bell,1000,-3,0.7,73,2026-08-27T00:39:05Z
bell_1000Hz_-3dB_Q1.0,2,Bell,1000,-3,1,73,2026-08-27T00:41:49Z
bell_1000Hz_-3dB_Q12.0,2,Bell,1000,-3,12,73,2026-08-27T00:49:56Z
bell_1000Hz_-3dB_Q2.0,2,Bell,1000,-3,2,73,2026-08-27T00:44:28Z
bell_1000Hz_-3dB_Q6.0,2,Bell,1000,-3,6,73,2026-08-27T00:47:11Z
bell_1000Hz_-6dB_Q0.1,2,Bell,1000,-6,0.1,73,2026-08-27T00:35:54Z
bell_1000Hz_-6dB_Q0.7,2,Bell,1000,-6,0.7,73,2026-08-27T00:38:38Z
bell_1000Hz_-6dB_Q1.0,2,Bell,1000,-6,1,73,2026-08-27T00:41:21Z
bell_1000Hz_-6dB_Q12.0,2,Bell,1000,-6,12,73,2026-08-27T00:49:29Z
bell_1000Hz_-6dB_Q2.0,2,Bell,1000,-6,2,73,2026-08-27T00:44:01Z
bell_1000Hz_-6dB_Q6.0,2,Bell,1000,-6,6,73,2026-08-27T00:46:44Z
highShelf_10000Hz_+0dB,2,Bell,1000,0,1,73,2026-08-27T00:33:42Z
highShelf_10000Hz_+12dB,3,High Shelf,10000,12,1,73,2026-08-27T00:35:01Z
highShelf_10000Hz_+3dB,3,High Shelf,10000,3,1,73,2026-08-27T00:34:08Z
highShelf_10000Hz_+6dB,3,High Shelf,10000,6,1,73,2026-08-27T00:34:35Z
highShelf_10000Hz_-12dB,3,High Shelf,10000,-12,1,73,2026-08-27T00:32:21Z
highShelf_10000Hz_-3dB,3,High Shelf,10000,-3,1,73,2026-08-27T00:33:15Z
highShelf_10000Hz_-6dB,3,High Shelf,10000,-6,1,73,2026-08-27T00:32:48Z
lowShelf_100Hz_+0dB,2,Bell,1000,0,1,73,2026-08-27T00:30:33Z
lowShelf_100Hz_+12dB,1,Low Shelf,100,12,1,73,2026-08-27T00:31:54Z
lowShelf_100Hz_+3dB,1,Low Shelf,100,3,1,73,2026-08-27T00:31:00Z
lowShelf_100Hz_+6dB,1,Low Shelf,100,6,1,73,2026-08-27T00:31:27Z
lowShelf_100Hz_-12dB,1,Low Shelf,100,-12,1,73,2026-08-27T00:29:12Z
lowShelf_100Hz_-3dB,1,Low Shelf,100,-3,1,73,2026-08-27T00:30:06Z
lowShelf_100Hz_-6dB,1,Low Shelf,100,-6,1,73,2026-08-27T00:29:39Z
