Label,Band,Shape,Target Freq (Hz),Gain (dB),Q,Points,Captured At
bell_1000Hz_+12dB_Q0.1,2,Bell,1000,12,0.1,73,2026-08-27T00:37:43Z
bell_1000Hz_+12dB_Q0.7,2,Bell,1000,12,0.7,73,2026-08-27T00:40:27Z
bell_1000Hz_+12dB_Q1.0,2,Bell,1000,12,1,73,2026-08-27T00:43:08Z
bell_1000Hz_+12dB_Q12.0,2,Bell,1000,12,12,73,2026-08-27T00:51:17Z
bell_1000Hz_+12dB_Q2.0,2,Bell,1000,12,2,73,2026-08-27T00:45:49Z
bell_1000Hz_+12dB_Q6.0,2,Bell,1000,12,6,73,2026-08-27T00:48:34Z
bell_1000Hz_+3dB_Q0.1,2,Bell,1000,3,0.1,73,2026-08-27T00:36:49Z
bell_1000Hz_+3dB_Q0.7,2,Bell,1000,3,0.7,73,2026-08-27T00:39:32Z
bell_1000Hz_+3dB_Q1.0,2,Bell,1000,3,1,73,2026-08-27T00:42:15Z
bell_1000Hz_+3dB_Q12.0,2,Bell,1000,3,12,73,2026-08-27T00:50:24Z
bell_1000Hz_+3dB_Q2.0,2,Bell,1000,3,2,73,2026-08-27T00:44:54Z
bell_1000Hz_+3dB_Q6.0,2,Bell,1000,3,6,73,2026-08-27T00:47:39Z
bell_1000Hz_+6dB_Q0.1,2,Bell,1000,6,0.1,73,2026-08-27T00:37:16Z
bell_1000Hz_+6dB_Q0.7,2,Bell,1000,6,0.7,73,2026-08-27T00:40:00Z
bell_1000Hz_+6dB_Q1.0,2,Bell,1000,6,1,73,2026-08-27T00:42:42Z
bell_1000Hz_+6dB_Q12.0,2,Bell,1000,6,12,73,2026-08-27T00:50:51Z
bell_1000Hz_+6dB_Q2.0,2,Bell,1000,6,2,73,2026-08-27T00:45:22Z
bell_1000Hz_+6dB_Q6.0,2,Bell,1000,6,6,73,2026-08-27T00:48:06Z
bell_1000Hz_-12dB_Q0.1,2,Bell,1000,-12,0.1,73,2026-08-27T00:35:28Z
bell_1000Hz_-12dB_Q0.7,2,Bell,1000,-12,0.7,73,2026-08-27T00:38:10Z
bell_1000Hz_-12dB_Q1.0,2,Bell,1000,-12,1,73,2026-08-27T00:40:54Z
bell_1000Hz_-12dB_Q12.0,2,Bell,1000,-12,12,73,2026-08-27T00:49:01Z
bell_1000Hz_-12dB_Q2.0,2,Bell,1000,-12,2,73,2026-08-27T00:43:34Z
bell_1000Hz_-12dB_Q6.0,2,Bell,1000,-12,6,73,2026-08-27T00:46:16Z
bell_1000Hz_-3dB_Q0.1,2,Bell,1000,-3,0.1,73,2026-08-27T00:36:21Z
bell_1000Hz_-3dB_Q0.7,2,Bell,1000,-3,0.7,73,2026-08-27T00:39:05Z
bell_1000Hz_-3dB_Q1.0,2,Bell,1000,-3,1,73,2026-08-27T00:41:49Z
bell_1000Hz_-3dB_Q12.0,2,Bell,1000,-3,12,73,2026-08-27T00:49:56Z
bell_1000Hz_-3dB_Q2.0,2,Bell,1000,-3,2,73,2026-08-27T00:44:28Z
bell_1000Hz_-3dB_Q6.0,2,Bell,1000,-3,6,73,2026-08-27T00:47:11Z
bell_1000Hz_-6dB_Q0.1,2,Bell,1000,-6,0.1,73,2026-08-27T00:35:54Z
bell_1000Hz_-6dB_Q0.7,2,Bell,1000,-6,0.7,73,2026-08-27T00:38:38Z
bell_1000Hz_-6dB_Q1.0,2,Bell,1000,-6,1,73,2026-08-27T00:41:21Z
bell_1000Hz_-6dB_Q12.0,2,Bell,1000,-6,12,73,2026-08-27T00:49:29Z
bell_1000Hz_-6dB_Q2.0,2,Bell,1000,-6,2,73,2026-08-27T00:44:01Z
bell_1000Hz_-6dB_Q6.0,2,Bell,1000,-6,6,73,2026-08-27T00:46:44Z
highShelf_10000Hz_+0dB,2,Bell,1000,0,1,73,2026-08-27T00:33:42Z
highShelf_10000Hz_+12dB,3,High Shelf,10000,12,1,73,2026-08-27T00:35:01Z
highShelf_10000Hz_+3dB,3,High Shelf,10000,3,1,73,2026-08-27T00:34:08Z
highShelf_10000Hz_+6dB,3,High Shelf,10000,6,1,73,2026-08-27T00:34:35Z
highShelf_10000Hz_-12dB,3,High Shelf,10000,-12,1,73,2026-08-27T00:32:21Z
highShelf_10000Hz_-3dB,3,High Shelf,10000,-3,1,73,2026-08-27T00:33:15Z
highShelf_10000Hz_-6dB,3,High Shelf,10000,-6,1,73,2026-08-27T00:32:48Z
lowShelf_100Hz_+0dB,2,Bell,1000,0,1,73,2026-08-27T00:30:33Z
lowShelf_100Hz_+12dB,1,Low Shelf,100,12,1,73,2026-08-27T00:31:54Z
lowShelf_100Hz_+3dB,1,Low Shelf,100,3,1,73,2026-08-27T00:31:00Z
lowShelf_100Hz_+6dB,1,Low Shelf,100,6,1,73,2026-08-27T00:31:27Z
lowShelf_100Hz_-12dB,1,Low Shelf,100,-12,1,73,2026-08-27T00:29:12Z
lowShelf_100Hz_-3dB,1,Low Shelf,100,-3,1,73,2026-08-27T00:30:06Z
lowShelf_100Hz_-6dB,1,Low Shelf,100,-6,1,73,2026-08-27T00:29:39Z

Frequency (Hz),bell_1000Hz_+12dB_Q0.1,bell_1000Hz_+12dB_Q0.7,bell_1000Hz_+12dB_Q1.0,bell_1000Hz_+12dB_Q12.0,bell_1000Hz_+12dB_Q2.0,bell_1000Hz_+12dB_Q6.0,bell_1000Hz_+3dB_Q0.1,bell_1000Hz_+3dB_Q0.7,bell_1000Hz_+3dB_Q1.0,bell_1000Hz_+3dB_Q12.0,bell_1000Hz_+3dB_Q2.0,bell_1000Hz_+3dB_Q6.0,bell_1000Hz_+6dB_Q0.1,bell_1000Hz_+6dB_Q0.7,bell_1000Hz_+6dB_Q1.0,bell_1000Hz_+6dB_Q12.0,bell_1000Hz_+6dB_Q2.0,bell_1000Hz_+6dB_Q6.0,bell_1000Hz_-12dB_Q0.1,bell_1000Hz_-12dB_Q0.7,bell_1000Hz_-12dB_Q1.0,bell_1000Hz_-12dB_Q12.0,bell_1000Hz_-12dB_Q2.0,bell_1000Hz_-12dB_Q6.0,bell_1000Hz_-3dB_Q0.1,bell_1000Hz_-3dB_Q0.7,bell_1000Hz_-3dB_Q1.0,bell_1000Hz_-3dB_Q12.0,bell_1000Hz_-3dB_Q2.0,bell_1000Hz_-3dB_Q6.0,bell_1000Hz_-6dB_Q0.1,bell_1000Hz_-6dB_Q0.7,bell_1000Hz_-6dB_Q1.0,bell_1000Hz_-6dB_Q12.0,bell_1000Hz_-6dB_Q2.0,bell_1000Hz_-6dB_Q6.0,highShelf_10000Hz_+0dB,highShelf_10000Hz_+12dB,highShelf_10000Hz_+3dB,highShelf_10000Hz_+6dB,highShelf_10000Hz_-12dB,highShelf_10000Hz_-3dB,highShelf_10000Hz_-6dB,lowShelf_100Hz_+0dB,lowShelf_100Hz_+12dB,lowShelf_100Hz_+3dB,lowShelf_100Hz_+6dB,lowShelf_100Hz_-12dB,lowShelf_100Hz_-3dB,lowShelf_100Hz_-6dB
20,1.96501159667969,-0.010894775390625,0.0871105194091797,-0.0603790283203125,-0.0121574401855469,0.0493526458740234,0.192411422729492,0.00710296630859375,-0.000759124755859375,0.00757598876953125,0.0124607086181641,0.0464553833007812,0.427780151367187,-0.0117206573486328,-0.0413703918457031,0.0415172576904297,0.0574970245361328,0.0497627258300781,-2.05231285095215,-0.0694046020507812,-0.0237026214599609,0.0509490966796875,0.0509128570556641,0.0136318206787109,-0.189512252807617,-0.0705051422119141,-0.0153312683105469,0.00089263916015625,-0.0194206237792969,0.0138874053955078,-0.519729614257812,0.0110359191894531,-0.00486946105957031,-0.0176792144775391,-0.0613422393798828,0.00277900695800781,-0.00686836242675781,-0.0643768310546875,-0.0157032012939453,-0.00457382202148438,-0.0689926147460938,-0.0426883697509766,0.0263156890869141,0.02630615234375,11.5460739135742,2.90283203125,5.80818939208984,-11.6928462982178,-2.8192081451416,-5.70136451721191
22.0138834250442,2.04326438903809,0.0555496215820312,0.0143985748291016,-0.0869560241699219,-0.0898513793945312,-0.138832092285156,0.0192031860351562,-0.0487327575683594,-0.166128158569336,-0.256696701049805,-0.192977905273437,-0.280145645141602,0.443454742431641,-0.158565521240234,-0.05322265625,-0.192380905151367,-0.231277465820312,-0.181545257568359,-2.31328392028809,-0.110437393188477,-0.0856037139892578,-0.16514778137207,-0.210304260253906,-0.0794181823730469,-0.252016067504883,-0.0358104705810547,-0.00766372680664063,-0.26287841796875,-0.0321788787841797,-0.0107555389404297,-0.699909210205078,-0.271781921386719,-0.0365009307861328,-0.207990646362305,-0.168319702148437,-0.150405883789062,-0.268453598022461,-0.251369476318359,-0.218593597412109,-0.0624008178710937,-0.0861129760742187,-0.170270919799805,-0.111948013305664,-0.118524551391602,11.3313789367676,2.71288871765137,5.65356254577637,-11.7370357513428,-3.09450912475586,-5.79952430725098
24.2305531725718,2.59513664245605,0.081787109375,0.040924072265625,0.00766563415527344,0.0146598815917969,0.00775337219238281,0.236734390258789,0.00781440734863281,0.00577735900878906,0.00787162780761719,0.0053863525390625,0.00691413879394531,0.664649963378906,0.019134521484375,0.0129508972167969,0.00676727294921875,0.00759696960449219,0.00683784484863281,-2.62250518798828,-0.0710849761962891,-0.0329551696777344,0.00482368469238281,-0.00326919555664062,0.00537872314453125,-0.227912902832031,-0.00107955932617188,0.00268745422363281,0.00806427001953125,0.00611495971679688,0.00563240051269531,-0.650005340576172,-0.0112419128417969,-0.00263786315917969,0.00620841979980469,0.00449371337890625,0.00540351867675781,0.00342369079589844,0.00245475769042969,0.00184249877929688,0.00426483154296875,0.000719070434570313,0.000413894653320313,0.000904083251953125,0.0033111572265625,11.4674396514893,2.83151435852051,5.72831153869629,-11.6336059570312,-2.83590888977051,-5.6480827331543
26.6704286432665,2.94929695129395,0.0437641143798828,0.0347900390625,-0.0127658843994141,0.0560722351074219,-0.0381145477294922,0.265996932983398,0.000871658325195312,0.0448207855224609,0.0147457122802734,0.00451087951660156,-0.03558349609375,0.716306686401367,0.007354736328125,0.0539741516113281,-0.0127353668212891,-0.05682373046875,-0.0539836883544922,-2.99015808105469,-0.0317573547363281,-0.0388278961181641,0.00367927551269531,-0.0353584289550781,-0.0175094604492187,-0.307247161865234,-0.0281963348388672,-0.0345745086669922,-0.0651283264160156,-0.085693359375,-0.0214481353759766,-0.73432731628418,-0.00191116333007813,0.0357742309570312,-0.0115222930908203,0.0450687408447266,0.0215969085693359,0.0111160278320312,-0.0814285278320312,-0.0177593231201172,0.00505447387695312,0.00218582153320312,-0.0796833038330078,-0.0247459411621094,-0.0333003997802734,11.421932220459,2.80611610412598,5.65489196777344,-11.5928192138672,-2.80384063720703,-5.6850700378418
29.3559853524414,3.41015625,0.0879707336425781,0.0599460601806641,0.0407371520996094,-0.0181770324707031,0.0546836853027344,0.349626541137695,0.0325107574462891,0.0879745483398438,0.0240402221679687,0.000579833984375,0.0374336242675781,0.996356964111328,0.0521469116210937,0.0500316619873047,-0.0189170837402344,0.0985908508300781,-0.0040435791015625,-3.32041931152344,-0.0648765563964844,-0.0241756439208984,0.0210533142089844,0.00641059875488281,0.020050048828125,-0.342308044433594,0.0410327911376953,0.0163192749023437,0.0129222869873047,0.00794219970703125,0.0460910797119141,-0.891347885131836,-0.0396385192871094,-0.00896453857421875,0.0345916748046875,0.0303840637207031,0.0708961486816406,-0.0198688507080078,-0.0345954895019531,-0.0019073486328125,0.0498428344726562,0.011077880859375,0.0690040588378906,0.0384864807128906,0.0229320526123047,11.3674831390381,2.78840065002441,5.64482498168945,-11.4544258117676,-2.77007675170898,-5.57807731628418
32.3119619687975,3.77980422973633,0.137722015380859,0.0697116851806641,0.00642013549804688,0.0217304229736328,0.0053558349609375,0.38749885559082,0.00948143005371094,0.00843620300292969,0.00657463073730469,0.00256538391113281,0.00111198425292969,1.06976699829102,0.029937744140625,0.0173263549804687,0.00179481506347656,0.00661849975585938,0.00426101684570312,-3.82778930664062,-0.134498596191406,-0.063629150390625,0.00417327880859375,-0.011962890625,0.00193405151367188,-0.387187957763672,-0.00703048706054688,0.000911712646484375,0.00539398193359375,0.00240898132324219,0.00091552734375,-1.06003952026367,-0.0261077880859375,-0.0111312866210938,0.001861572265625,0.00046539306640625,0.00666618347167969,0.00118255615234375,-0.000352859497070312,0.000537872314453125,0.00226402282714844,-0.000314712524414062,-0.000339508056640625,-0.000490188598632813,-0.000349044799804688,11.1870098114014,2.72846221923828,5.54615020751953,-11.3645401000977,-2.73906326293945,-5.47135543823242
35.5655882007785,4.24360847473144,0.180049896240234,0.0980262756347656,0.0367889404296875,-0.0196495056152344,0.0855178833007812,0.527032852172852,0.112268447875977,0.118513107299805,0.0394401550292969,0.0714225769042969,0.0326671600341797,1.3122673034668,0.100378036499023,0.0379161834716797,0.0845146179199219,0.0273151397705078,0.0233783721923828,-4.26449394226074,-0.178220748901367,-0.124629974365234,0.0736656188964844,0.0504341125488281,0.0420398712158203,-0.500215530395508,-0.0344715118408203,0.0827388763427734,0.00714874267578125,0.129426956176758,0.0764694213867188,-1.23171424865723,0.0114898681640625,0.0750827789306641,-0.0437564849853516,0.0235328674316406,0.0799522399902344,-0.0435447692871094,0.0612869262695312,0.0565357208251953,0.0149517059326172,0.0316314697265625,0.0402317047119141,0.120502471923828,0.0230541229248047,11.0862598419189,2.67230987548828,5.58227348327637,-11.1126556396484,-2.74240875244141,-5.29586601257324
39.1468356297532,4.71203994750977,0.221429824829102,0.0858974456787109,0.00157546997070312,0.0601062774658203,0.0168952941894531,0.545379638671875,0.0186080932617187,0.0176486968994141,-0.0111885070800781,0.0323810577392578,0.0184803009033203,1.44218254089356,0.0373859405517578,0.0467796325683594,-0.00307464599609375,-0.0024566650390625,0.0160160064697266,-4.74320411682129,-0.208620071411133,-0.0917739868164062,0.00613021850585938,-0.0346221923828125,0.00295066833496094,-0.524986267089844,-0.00720596313476563,0.0182762145996094,0.0167789459228516,0.0295372009277344,0.00835418701171875,-1.43730545043945,-0.0426597595214844,-0.0224704742431641,0.032470703125,0.00239372253417969,0.00837516784667969,-0.00919151306152344,0.0100193023681641,0.000392913818359375,-0.00316429138183594,0.0191402435302734,-0.0142021179199219,0.0286827087402344,0.0255317687988281,10.9117031097412,2.64294815063477,5.37423706054688,-11.0578002929688,-2.63544273376465,-5.28627395629883
43.0886938006377,5.1820011138916,0.239675521850586,0.122415542602539,0.01373291015625,0.0406837463378906,0.0128841400146484,0.630378723144531,0.0200176239013672,0.0184822082519531,0.00951576232910156,0.00924301147460938,0.00567245483398438,1.65920257568359,0.0525493621826172,0.0265007019042969,0.0087890625,0.0144939422607422,0.00739288330078125,-5.23491477966309,-0.230751037597656,-0.115690231323242,0.00724601745605469,-0.0232067108154297,0.00199508666992188,-0.619813919067383,-0.01385498046875,-0.00135040283203125,0.00606536865234375,0.00202751159667969,0.00745010375976563,-1.64081954956055,-0.0432300567626953,-0.0176067352294922,0.0066070556640625,-0.000936508178710938,0.00996971130371094,0.00138473510742188,0.00505828857421875,0.00403213500976562,-0.000112533569335938,0.000604629516601563,0.00367164611816406,0.00433731079101562,0.00182723999023438,10.7441215515137,2.56924629211426,5.26461029052734,-10.9082775115967,-2.57506561279297,-5.18625259399414
47.4274741132331,5.64674377441406,0.315767288208008,0.139579772949219,0.0329647064208984,0.0404281616210937,0.00269699096679688,0.729555130004883,0.0290756225585937,0.0142288208007812,-0.0228424072265625,0.0161991119384766,0.031036376953125,1.88486099243164,0.110435485839844,0.0355205535888672,0.00286483764648438,0.06103515625,0.00794410705566406,-5.74081230163574,-0.316902160644531,-0.139347076416016,0.018585205078125,-0.0653495788574219,-0.03753662109375,-0.746362686157227,-0.00297927856445312,0.0261516571044922,0.00261878967285156,-0.0164318084716797,-0.00965118408203125,-1.85215187072754,-0.0460319519042969,-0.0350475311279297,0.0459785461425781,-0.00559425354003906,-0.0104293823242188,0.00309562683105469,0.0322914123535156,-0.0330886840820312,-0.0000057220458984375,-0.0078125,0.0266170501708984,-0.00042724609375,-0.00856971740722656,10.5005359649658,2.50383758544922,5.14878273010254,-10.7041893005371,-2.4636287689209,-5.06753540039062
